P_20231206_160034_BURST_001 - Copy (2).jpg,Down,1491.105,1801.161,-1055.7622,1530.0779,1737.4244,-982.8125,1549.0939,1737.7598,-982.7051,1568.5515,1738.0251,-982.89795,1453.4146,1737.5884,-968.9075,1432.1287,1737.8486,-969.1017,1418.2812,1737.613,-969.0045,1608.5248,1753.4778,-570.238,1400.4493,1761.0173,-511.6581,1532.6693,1849.8118,-900.9437,1449.8999,1863.0648,-885.64966,1777.4315,2052.5483,-320.35272,1265.5151,2067.627,-203.93037,1952.0723,2463.9204,-445.75305,1108.565,2472.958,-481.7947,1613.7118,2303.2324,-719.6947,1386.8086,2322.5078,-991.5976,1541.1033,2252.5808,-752.40015,1458.0039,2258.3625,-1069.4712,1543.9551,2203.9575,-655.2826,1460.7278,2209.028,-950.11206,1559.4016,2217.8926,-663.2699,1450.6539,2225.6875,-942.25415,1709.2502,2595.2058,-23.237017,1396.7479,2607.279,22.60553,1999.0205,3014.8738,-1043.4045,1136.6497,3030.9548,-904.51337,1864.2769,3302.2249,316.49585,1304.435,3302.7085,452.58112,1803.9285,3337.3037,439.44003,1357.1753,3336.9177,570.46216,1985.3807,3516.7314,139.41933,1162.3215,3499.8196,324.11157
P_20231206_160034_BURST_001 - Copy (3).jpg,Down,1491.105,1801.161,-1055.7622,1530.0779,1737.4244,-982.8125,1549.0939,1737.7598,-982.7051,1568.5515,1738.0251,-982.89795,1453.4146,1737.5884,-968.9075,1432.1287,1737.8486,-969.1017,1418.2812,1737.613,-969.0045,1608.5248,1753.4778,-570.238,1400.4493,1761.0173,-511.6581,1532.6693,1849.8118,-900.9437,1449.8999,1863.0648,-885.64966,1777.4315,2052.5483,-320.35272,1265.5151,2067.627,-203.93037,1952.0723,2463.9204,-445.75305,1108.565,2472.958,-481.7947,1613.7118,2303.2324,-719.6947,1386.8086,2322.5078,-991.5976,1541.1033,2252.5808,-752.40015,1458.0039,2258.3625,-1069.4712,1543.9551,2203.9575,-655.2826,1460.7278,2209.028,-950.11206,1559.4016,2217.8926,-663.2699,1450.6539,2225.6875,-942.25415,1709.2502,2595.2058,-23.237017,1396.7479,2607.279,22.60553,1999.0205,3014.8738,-1043.4045,1136.6497,3030.9548,-904.51337,1864.2769,3302.2249,316.49585,1304.435,3302.7085,452.58112,1803.9285,3337.3037,439.44003,1357.1753,3336.9177,570.46216,1985.3807,3516.7314,139.41933,1162.3215,3499.8196,324.11157
P_20231206_160034_BURST_001 - Copy (4).jpg,Down,1491.105,1801.161,-1055.7622,1530.0779,1737.4244,-982.8125,1549.0939,1737.7598,-982.7051,1568.5515,1738.0251,-982.89795,1453.4146,1737.5884,-968.9075,1432.1287,1737.8486,-969.1017,1418.2812,1737.613,-969.0045,1608.5248,1753.4778,-570.238,1400.4493,1761.0173,-511.6581,1532.6693,1849.8118,-900.9437,1449.8999,1863.0648,-885.64966,1777.4315,2052.5483,-320.35272,1265.5151,2067.627,-203.93037,1952.0723,2463.9204,-445.75305,1108.565,2472.958,-481.7947,1613.7118,2303.2324,-719.6947,1386.8086,2322.5078,-991.5976,1541.1033,2252.5808,-752.40015,1458.0039,2258.3625,-1069.4712,1543.9551,2203.9575,-655.2826,1460.7278,2209.028,-950.11206,1559.4016,2217.8926,-663.2699,1450.6539,2225.6875,-942.25415,1709.2502,2595.2058,-23.237017,1396.7479,2607.279,22.60553,1999.0205,3014.8738,-1043.4045,1136.6497,3030.9548,-904.51337,1864.2769,3302.2249,316.49585,1304.435,3302.7085,452.58112,1803.9285,3337.3037,439.44003,1357.1753,3336.9177,570.46216,1985.3807,3516.7314,139.41933,1162.3215,3499.8196,324.11157
P_20231206_160034_BURST_001 - Copy (5).jpg,Down,1491.105,1801.161,-1055.7622,1530.0779,1737.4244,-982.8125,1549.0939,1737.7598,-982.7051,1568.5515,1738.0251,-982.89795,1453.4146,1737.5884,-968.9075,1432.1287,1737.8486,-969.1017,1418.2812,1737.613,-969.0045,1608.5248,1753.4778,-570.238,1400.4493,1761.0173,-511.6581,1532.6693,1849.8118,-900.9437,1449.8999,1863.0648,-885.64966,1777.4315,2052.5483,-320.35272,1265.5151,2067.627,-203.93037,1952.0723,2463.9204,-445.75305,1108.565,2472.958,-481.7947,1613.7118,2303.2324,-719.6947,1386.8086,2322.5078,-991.5976,1541.1033,2252.5808,-752.40015,1458.0039,2258.3625,-1069.4712,1543.9551,2203.9575,-655.2826,1460.7278,2209.028,-950.11206,1559.4016,2217.8926,-663.2699,1450.6539,2225.6875,-942.25415,1709.2502,2595.2058,-23.237017,1396.7479,2607.279,22.60553,1999.0205,3014.8738,-1043.4045,1136.6497,3030.9548,-904.51337,1864.2769,3302.2249,316.49585,1304.435,3302.7085,452.58112,1803.9285,3337.3037,439.44003,1357.1753,3336.9177,570.46216,1985.3807,3516.7314,139.41933,1162.3215,3499.8196,324.11157
P_20231206_160034_BURST_001 - Copy.jpg,Down,1491.105,1801.161,-1055.7622,1530.0779,1737.4244,-982.8125,1549.0939,1737.7598,-982.7051,1568.5515,1738.0251,-982.89795,1453.4146,1737.5884,-968.9075,1432.1287,1737.8486,-969.1017,1418.2812,1737.613,-969.0045,1608.5248,1753.4778,-570.238,1400.4493,1761.0173,-511.6581,1532.6693,1849.8118,-900.9437,1449.8999,1863.0648,-885.64966,1777.4315,2052.5483,-320.35272,1265.5151,2067.627,-203.93037,1952.0723,2463.9204,-445.75305,1108.565,2472.958,-481.7947,1613.7118,2303.2324,-719.6947,1386.8086,2322.5078,-991.5976,1541.1033,2252.5808,-752.40015,1458.0039,2258.3625,-1069.4712,1543.9551,2203.9575,-655.2826,1460.7278,2209.028,-950.11206,1559.4016,2217.8926,-663.2699,1450.6539,2225.6875,-942.25415,1709.2502,2595.2058,-23.237017,1396.7479,2607.279,22.60553,1999.0205,3014.8738,-1043.4045,1136.6497,3030.9548,-904.51337,1864.2769,3302.2249,316.49585,1304.435,3302.7085,452.58112,1803.9285,3337.3037,439.44003,1357.1753,3336.9177,570.46216,1985.3807,3516.7314,139.41933,1162.3215,3499.8196,324.11157
P_20231206_160034_BURST_001.jpg,Down,1491.105,1801.161,-1055.7622,1530.0779,1737.4244,-982.8125,1549.0939,1737.7598,-982.7051,1568.5515,1738.0251,-982.89795,1453.4146,1737.5884,-968.9075,1432.1287,1737.8486,-969.1017,1418.2812,1737.613,-969.0045,1608.5248,1753.4778,-570.238,1400.4493,1761.0173,-511.6581,1532.6693,1849.8118,-900.9437,1449.8999,1863.0648,-885.64966,1777.4315,2052.5483,-320.35272,1265.5151,2067.627,-203.93037,1952.0723,2463.9204,-445.75305,1108.565,2472.958,-481.7947,1613.7118,2303.2324,-719.6947,1386.8086,2322.5078,-991.5976,1541.1033,2252.5808,-752.40015,1458.0039,2258.3625,-1069.4712,1543.9551,2203.9575,-655.2826,1460.7278,2209.028,-950.11206,1559.4016,2217.8926,-663.2699,1450.6539,2225.6875,-942.25415,1709.2502,2595.2058,-23.237017,1396.7479,2607.279,22.60553,1999.0205,3014.8738,-1043.4045,1136.6497,3030.9548,-904.51337,1864.2769,3302.2249,316.49585,1304.435,3302.7085,452.58112,1803.9285,3337.3037,439.44003,1357.1753,3336.9177,570.46216,1985.3807,3516.7314,139.41933,1162.3215,3499.8196,324.11157
P_20231206_160034_BURST_002 - Copy (2).jpg,Down,1487.3085,1800.0037,-900.74097,1526.9243,1738.3842,-827.3751,1547.0034,1739.0288,-827.25244,1566.3811,1739.9082,-827.4232,1449.404,1736.168,-812.3,1429.55,1735.668,-812.4472,1415.2571,1734.8958,-812.2611,1605.2703,1754.0593,-429.4207,1399.7217,1757.7314,-365.09122,1530.1986,1849.7195,-752.44824,1447.0531,1861.2908,-735.25574,1775.6873,2051.4805,-200.53143,1263.0969,2064.9502,-70.568184,1950.5317,2452.8948,-273.4929,1105.5632,2469.6667,-296.1062,1612.2615,2303.3674,-478.4472,1377.2969,2326.8936,-761.02,1541.3005,2250.1726,-499.0761,1451.8645,2262.6675,-830.81116,1543.0566,2201.4211,-407.70895,1455.9432,2211.8125,-719.92065,1557.1816,2214.8843,-422.83295,1445.0846,2228.8484,-714.64276,1703.7749,2591.5151,-25.723267,1393.9482,2606.5977,25.121372,1993.492,3015.5332,-986.1426,1130.4133,3023.6548,-861.3913,1863.3486,3294.7615,347.01486,1304.1709,3300.4307,457.86908,1798.2887,3330.6904,467.47467,1361.1332,3335.1184,572.2098,1985.978,3512.1907,171.2143,1166.8152,3499.1133,325.05792
P_20231206_160034_BURST_002 - Copy (3).jpg,Down,1487.3085,1800.0037,-900.74097,1526.9243,1738.3842,-827.3751,1547.0034,1739.0288,-827.25244,1566.3811,1739.9082,-827.4232,1449.404,1736.168,-812.3,1429.55,1735.668,-812.4472,1415.2571,1734.8958,-812.2611,1605.2703,1754.0593,-429.4207,1399.7217,1757.7314,-365.09122,1530.1986,1849.7195,-752.44824,1447.0531,1861.2908,-735.25574,1775.6873,2051.4805,-200.53143,1263.0969,2064.9502,-70.568184,1950.5317,2452.8948,-273.4929,1105.5632,2469.6667,-296.1062,1612.2615,2303.3674,-478.4472,1377.2969,2326.8936,-761.02,1541.3005,2250.1726,-499.0761,1451.8645,2262.6675,-830.81116,1543.0566,2201.4211,-407.70895,1455.9432,2211.8125,-719.92065,1557.1816,2214.8843,-422.83295,1445.0846,2228.8484,-714.64276,1703.7749,2591.5151,-25.723267,1393.9482,2606.5977,25.121372,1993.492,3015.5332,-986.1426,1130.4133,3023.6548,-861.3913,1863.3486,3294.7615,347.01486,1304.1709,3300.4307,457.86908,1798.2887,3330.6904,467.47467,1361.1332,3335.1184,572.2098,1985.978,3512.1907,171.2143,1166.8152,3499.1133,325.05792
P_20231206_160034_BURST_002 - Copy (4).jpg,Down,1487.3085,1800.0037,-900.74097,1526.9243,1738.3842,-827.3751,1547.0034,1739.0288,-827.25244,1566.3811,1739.9082,-827.4232,1449.404,1736.168,-812.3,1429.55,1735.668,-812.4472,1415.2571,1734.8958,-812.2611,1605.2703,1754.0593,-429.4207,1399.7217,1757.7314,-365.09122,1530.1986,1849.7195,-752.44824,1447.0531,1861.2908,-735.25574,1775.6873,2051.4805,-200.53143,1263.0969,2064.9502,-70.568184,1950.5317,2452.8948,-273.4929,1105.5632,2469.6667,-296.1062,1612.2615,2303.3674,-478.4472,1377.2969,2326.8936,-761.02,1541.3005,2250.1726,-499.0761,1451.8645,2262.6675,-830.81116,1543.0566,2201.4211,-407.70895,1455.9432,2211.8125,-719.92065,1557.1816,2214.8843,-422.83295,1445.0846,2228.8484,-714.64276,1703.7749,2591.5151,-25.723267,1393.9482,2606.5977,25.121372,1993.492,3015.5332,-986.1426,1130.4133,3023.6548,-861.3913,1863.3486,3294.7615,347.01486,1304.1709,3300.4307,457.86908,1798.2887,3330.6904,467.47467,1361.1332,3335.1184,572.2098,1985.978,3512.1907,171.2143,1166.8152,3499.1133,325.05792
P_20231206_160034_BURST_002 - Copy (5).jpg,Down,1487.3085,1800.0037,-900.74097,1526.9243,1738.3842,-827.3751,1547.0034,1739.0288,-827.25244,1566.3811,1739.9082,-827.4232,1449.404,1736.168,-812.3,1429.55,1735.668,-812.4472,1415.2571,1734.8958,-812.2611,1605.2703,1754.0593,-429.4207,1399.7217,1757.7314,-365.09122,1530.1986,1849.7195,-752.44824,1447.0531,1861.2908,-735.25574,1775.6873,2051.4805,-200.53143,1263.0969,2064.9502,-70.568184,1950.5317,2452.8948,-273.4929,1105.5632,2469.6667,-296.1062,1612.2615,2303.3674,-478.4472,1377.2969,2326.8936,-761.02,1541.3005,2250.1726,-499.0761,1451.8645,2262.6675,-830.81116,1543.0566,2201.4211,-407.70895,1455.9432,2211.8125,-719.92065,1557.1816,2214.8843,-422.83295,1445.0846,2228.8484,-714.64276,1703.7749,2591.5151,-25.723267,1393.9482,2606.5977,25.121372,1993.492,3015.5332,-986.1426,1130.4133,3023.6548,-861.3913,1863.3486,3294.7615,347.01486,1304.1709,3300.4307,457.86908,1798.2887,3330.6904,467.47467,1361.1332,3335.1184,572.2098,1985.978,3512.1907,171.2143,1166.8152,3499.1133,325.05792
